month,node_name,item,value
2026-01,DAD_COLD_DC,initial_inventory,0

# imports (contracted, split shipments)
2026-01,DAD_COLD_DC,import_supply,120
2026-02,DAD_COLD_DC,import_supply,120
2026-03,DAD_COLD_DC,import_supply,140
2026-04,DAD_COLD_DC,import_supply,140
2026-05,DAD_COLD_DC,import_supply,160
2026-06,DAD_COLD_DC,import_supply,160
2026-07,DAD_COLD_DC,import_supply,120
2026-08,DAD_COLD_DC,import_supply,100
2026-09,DAD_COLD_DC,import_supply,80
2026-10,DAD_COLD_DC,import_supply,60
2026-11,DAD_COLD_DC,import_supply,40
2026-12,DAD_COLD_DC,import_supply,20
2027-01,DAD_COLD_DC,import_supply,0
2027-02,DAD_COLD_DC,import_supply,0
2027-03,DAD_COLD_DC,import_supply,0
2027-04,DAD_COLD_DC,import_supply,0
2027-05,DAD_COLD_DC,import_supply,0
2027-06,DAD_COLD_DC,import_supply,0
2027-07,DAD_COLD_DC,import_supply,0
2027-08,DAD_COLD_DC,import_supply,0
2027-09,DAD_COLD_DC,import_supply,0
2027-10,DAD_COLD_DC,import_supply,0
2027-11,DAD_COLD_DC,import_supply,0
2027-12,DAD_COLD_DC,import_supply,0

# demand (small wave)
2026-01,MKT_HOSP,demand,40
2026-02,MKT_HOSP,demand,45
2026-03,MKT_HOSP,demand,55
2026-04,MKT_HOSP,demand,65
2026-05,MKT_HOSP,demand,75
2026-06,MKT_HOSP,demand,85
2026-07,MKT_HOSP,demand,80
2026-08,MKT_HOSP,demand,70
2026-09,MKT_HOSP,demand,60
2026-10,MKT_HOSP,demand,55
2026-11,MKT_HOSP,demand,50
2026-12,MKT_HOSP,demand,45
2027-01,MKT_HOSP,demand,35
2027-02,MKT_HOSP,demand,35
2027-03,MKT_HOSP,demand,35
2027-04,MKT_HOSP,demand,35
2027-05,MKT_HOSP,demand,35
2027-06,MKT_HOSP,demand,35
2027-07,MKT_HOSP,demand,35
2027-08,MKT_HOSP,demand,35
2027-09,MKT_HOSP,demand,35
2027-10,MKT_HOSP,demand,35
2027-11,MKT_HOSP,demand,35
2027-12,MKT_HOSP,demand,35

# vaccination capacity (ramp-up of domestic rollout)
2026-01,MKT_HOSP,vaccination_capacity,10
2026-02,MKT_HOSP,vaccination_capacity,20
2026-03,MKT_HOSP,vaccination_capacity,40
2026-04,MKT_HOSP,vaccination_capacity,60
2026-05,MKT_HOSP,vaccination_capacity,80
2026-06,MKT_HOSP,vaccination_capacity,100
2026-07,MKT_HOSP,vaccination_capacity,110
2026-08,MKT_HOSP,vaccination_capacity,120
2026-09,MKT_HOSP,vaccination_capacity,120
2026-10,MKT_HOSP,vaccination_capacity,120
2026-11,MKT_HOSP,vaccination_capacity,120
2026-12,MKT_HOSP,vaccination_capacity,120
2027-01,MKT_HOSP,vaccination_capacity,120
2027-02,MKT_HOSP,vaccination_capacity,120
2027-03,MKT_HOSP,vaccination_capacity,120
2027-04,MKT_HOSP,vaccination_capacity,120
2027-05,MKT_HOSP,vaccination_capacity,120
2027-06,MKT_HOSP,vaccination_capacity,120
2027-07,MKT_HOSP,vaccination_capacity,120
2027-08,MKT_HOSP,vaccination_capacity,120
2027-09,MKT_HOSP,vaccination_capacity,120
2027-10,MKT_HOSP,vaccination_capacity,120
2027-11,MKT_HOSP,vaccination_capacity,120
2027-12,MKT_HOSP,vaccination_capacity,120
