month,node_name,item,value
2026-01,DAD_COLD_DC,initial_inventory,0

# imports (same as baseline: supply is "given" by contracts/airlift)
2026-01,DAD_COLD_DC,import_supply,120
2026-02,DAD_COLD_DC,import_supply,120
2026-03,DAD_COLD_DC,import_supply,140
2026-04,DAD_COLD_DC,import_supply,140
2026-05,DAD_COLD_DC,import_supply,160
2026-06,DAD_COLD_DC,import_supply,160
2026-07,DAD_COLD_DC,import_supply,120
2026-08,DAD_COLD_DC,import_supply,100
2026-09,DAD_COLD_DC,import_supply,80
2026-10,DAD_COLD_DC,import_supply,60
2026-11,DAD_COLD_DC,import_supply,40
2026-12,DAD_COLD_DC,import_supply,20
2027-01,DAD_COLD_DC,import_supply,0
2027-02,DAD_COLD_DC,import_supply,0
2027-03,DAD_COLD_DC,import_supply,0
2027-04,DAD_COLD_DC,import_supply,0
2027-05,DAD_COLD_DC,import_supply,0
2027-06,DAD_COLD_DC,import_supply,0
2027-07,DAD_COLD_DC,import_supply,0
2027-08,DAD_COLD_DC,import_supply,0
2027-09,DAD_COLD_DC,import_supply,0
2027-10,DAD_COLD_DC,import_supply,0
2027-11,DAD_COLD_DC,import_supply,0
2027-12,DAD_COLD_DC,import_supply,0

# demand (big wave early)
2026-01,MKT_HOSP,demand,60
2026-02,MKT_HOSP,demand,90
2026-03,MKT_HOSP,demand,160
2026-04,MKT_HOSP,demand,220
2026-05,MKT_HOSP,demand,240
2026-06,MKT_HOSP,demand,200
2026-07,MKT_HOSP,demand,150
2026-08,MKT_HOSP,demand,110
2026-09,MKT_HOSP,demand,80
2026-10,MKT_HOSP,demand,60
2026-11,MKT_HOSP,demand,50
2026-12,MKT_HOSP,demand,45
2027-01,MKT_HOSP,demand,40
2027-02,MKT_HOSP,demand,40
2027-03,MKT_HOSP,demand,40
2027-04,MKT_HOSP,demand,40
2027-05,MKT_HOSP,demand,40
2027-06,MKT_HOSP,demand,40
2027-07,MKT_HOSP,demand,40
2027-08,MKT_HOSP,demand,40
2027-09,MKT_HOSP,demand,40
2027-10,MKT_HOSP,demand,40
2027-11,MKT_HOSP,demand,40
2027-12,MKT_HOSP,demand,40

# vaccination capacity (slow rollout: the bottleneck)
2026-01,MKT_HOSP,vaccination_capacity,10
2026-02,MKT_HOSP,vaccination_capacity,15
2026-03,MKT_HOSP,vaccination_capacity,25
2026-04,MKT_HOSP,vaccination_capacity,40
2026-05,MKT_HOSP,vaccination_capacity,55
2026-06,MKT_HOSP,vaccination_capacity,70
2026-07,MKT_HOSP,vaccination_capacity,85
2026-08,MKT_HOSP,vaccination_capacity,100
2026-09,MKT_HOSP,vaccination_capacity,110
2026-10,MKT_HOSP,vaccination_capacity,115
2026-11,MKT_HOSP,vaccination_capacity,120
2026-12,MKT_HOSP,vaccination_capacity,120
2027-01,MKT_HOSP,vaccination_capacity,120
2027-02,MKT_HOSP,vaccination_capacity,120
2027-03,MKT_HOSP,vaccination_capacity,120
2027-04,MKT_HOSP,vaccination_capacity,120
2027-05,MKT_HOSP,vaccination_capacity,120
2027-06,MKT_HOSP,vaccination_capacity,120
2027-07,MKT_HOSP,vaccination_capacity,120
2027-08,MKT_HOSP,vaccination_capacity,120
2027-09,MKT_HOSP,vaccination_capacity,120
2027-10,MKT_HOSP,vaccination_capacity,120
2027-11,MKT_HOSP,vaccination_capacity,120
2027-12,MKT_HOSP,vaccination_capacity,120
