month,node_name,item,value
2025-01,DAD_PHONE,initial_inventory,100

2025-01,MKT_PHONE,demand,50
2025-02,MKT_PHONE,demand,80
2025-03,MKT_PHONE,demand,120
2025-04,MKT_PHONE,demand,180
2025-05,MKT_PHONE,demand,240
2025-06,MKT_PHONE,demand,300
2025-07,MKT_PHONE,demand,280
2025-08,MKT_PHONE,demand,240
2025-09,MKT_PHONE,demand,200
2025-10,MKT_PHONE,demand,160
2025-11,MKT_PHONE,demand,120
2025-12,MKT_PHONE,demand,90
2026-01,MKT_PHONE,demand,70
2026-02,MKT_PHONE,demand,55
2026-03,MKT_PHONE,demand,45
2026-04,MKT_PHONE,demand,35
2026-05,MKT_PHONE,demand,25
2026-06,MKT_PHONE,demand,20

2025-01,MOM_PHONE,production,60
2025-02,MOM_PHONE,production,90
2025-03,MOM_PHONE,production,130
2025-04,MOM_PHONE,production,190
2025-05,MOM_PHONE,production,260
2025-06,MOM_PHONE,production,320
2025-07,MOM_PHONE,production,300
2025-08,MOM_PHONE,production,250
2025-09,MOM_PHONE,production,210
2025-10,MOM_PHONE,production,170
2025-11,MOM_PHONE,production,130
2025-12,MOM_PHONE,production,100
2026-01,MOM_PHONE,production,80
2026-02,MOM_PHONE,production,60
2026-03,MOM_PHONE,production,50
2026-04,MOM_PHONE,production,40
2026-05,MOM_PHONE,production,30
2026-06,MOM_PHONE,production,25

2025-01,MOM_PHONE,capacity,80
2025-02,MOM_PHONE,capacity,110
2025-03,MOM_PHONE,capacity,150
2025-04,MOM_PHONE,capacity,220
2025-05,MOM_PHONE,capacity,300
2025-06,MOM_PHONE,capacity,350
2025-07,MOM_PHONE,capacity,350
2025-08,MOM_PHONE,capacity,300
2025-09,MOM_PHONE,capacity,250
2025-10,MOM_PHONE,capacity,200
2025-11,MOM_PHONE,capacity,160
2025-12,MOM_PHONE,capacity,120
2026-01,MOM_PHONE,capacity,100
2026-02,MOM_PHONE,capacity,80
2026-03,MOM_PHONE,capacity,70
2026-04,MOM_PHONE,capacity,60
2026-05,MOM_PHONE,capacity,50
2026-06,MOM_PHONE,capacity,40
